industry,process,tasks,adopter,service,provider,summary,url
賃貸管理,不動産開発/不動産運用,賃貸借契約管理|契約・決済|PM/BM管理,株式会社MEコーポレーション,スマート契約,アットホーム株式会社,契約締結までオンラインで完結させ、訪問移動や社内決裁の負荷を減らした事例。,https://business.athome.jp/service/smart_keiyaku/
賃貸管理,不動産開発/不動産運用,賃貸借契約管理|契約・決済|PM/BM管理,株式会社八丁商会,スマート契約,アットホーム株式会社,駐車場の解約・車両変更手続きで、書面確認から電子サインまでオンライン化した事例。,https://business.athome.jp/service/smart_keiyaku/
不動産開発,不動産売却,媒介契約|重要事項説明|売買契約|契約・決済,東京建物株式会社,レリーズプラットフォーム,GOGEN株式会社,年間約3000本の売買契約・覚書を扱う分譲マンション事業で、電子契約と契約書類管理により顧客体験と業務効率化を両立した事例。,https://blog.release.estate/case_studies/case-studies-tokyo-tatemono
住宅販売,不動産購入,重要事項説明|売買契約|契約・決済|決済・引渡し,フジ住宅株式会社,レリーズプラットフォーム,GOGEN株式会社,新築分譲住宅事業で新規契約の9割以上を電子契約へ移行し、印紙代・郵送対応・契約後問い合わせの負荷を減らした事例。,https://blog.release.estate/case_studies/case-fuji-jutaku
売買仲介,不動産仲介,重要事項説明|売買契約|契約・決済|決済・引渡し,一心エステート株式会社,レリーズプラットフォーム,GOGEN株式会社,実需仲介の4者間契約で電子契約を活用し、関係者間の契約手続きと書類管理をオンライン化した事例。,https://blog.release.estate/case_studies/case-studies-issin-estate
住宅販売,不動産購入,重要事項説明|売買契約|契約・決済|決済・引渡し,株式会社創宅,レリーズプラットフォーム,GOGEN株式会社,岡山県内の金融機関との住宅ローン申請も含め、住宅販売の契約・ローン手続きの電子化を進めた事例。,https://blog.release.estate/case_studies/case-studies-soutaku
不動産開発,不動産売却,重要事項説明|売買契約|契約・決済|決済・引渡し,穴吹興産株式会社,レリーズプラットフォーム,GOGEN株式会社,分譲マンションブランドでレリーズを活用した電子契約導入を進め、オンライン販売手続きの拡張性を評価した事例。,https://www.anabuki.ne.jp/cms_upload/news/392/20241211_NEWS_RELEASE.pdf
不動産ファンド,不動産開発/不動産運用,PM/BM管理|賃貸借契約管理|事業収支作成|レポーティング,ケネディクス不動産投資顧問株式会社,T2TR ComFort,Prop Tech plus株式会社,複数システムに分散していたレントロールや工事・支払管理を一元化し、データ二重登録と確認工数を削減した事例。,https://service.proptech.plus/case-studies/case-a3b25e4c8750
不動産ファンド,不動産開発/不動産運用,PM/BM管理|賃貸借契約管理|事業収支作成|レポーティング,株式会社東京建物リアルティ・インベストメント・マネジメント,T2TR ComFort,Prop Tech plus株式会社,紙ベースの工事申請・稟議や分断された契約・収支管理を、ワークフローとデータ管理で段階的に改善した事例。,https://service.proptech.plus/case-studies/case-8462f0567450
売買仲介,不動産仲介,内見・案内|販売資料作成|売却活動管理,野村不動産アーバンネット株式会社,ナーブVRクラウド,ナーブ株式会社,実写画像を使って歩く・立つ・座る視点まで確認できるVR内見を一部店舗で試験導入し、物件確認体験の高度化を図った事例。,https://www.nurve.jp/news/pr-20181029-htm/
住宅販売,不動産売却,内見・案内|販売資料作成|売却活動管理,ケイアイスター不動産株式会社,ナーブVRクラウド,ナーブ株式会社,住宅販売・仲介の顧客体験向上を目的にVR内見サービスを導入し、非来店でも物件理解を深められる販売支援を進めた事例。,https://panora.tokyo/45745/
不動産開発,不動産売却,重要事項説明|売買契約|契約・決済|決済・引渡し,東急不動産株式会社,Musubell,株式会社DGコミュニケーションズ,宅建業法改正を契機に契約書作成から承認・管理までを一元化し、電子契約利用率向上と販売業務効率化を進めた事例。,https://www.musubell.com/case/new-const_251217-03
不動産開発,不動産売却,重要事項説明|売買契約|契約・決済|決済・引渡し,野村不動産株式会社,Musubell,株式会社DGコミュニケーションズ,分譲マンション契約業務で紙の売買契約書、印刷、郵送、部署間受け渡しの負荷を減らし、ペーパーレス化とコスト削減を進めた事例。,https://www.musubell.com/case/new-const_251217-02
売買仲介,不動産仲介,重要事項説明|売買契約|契約・決済|物件調査,ミサワホーム不動産株式会社,Musubell,株式会社DGコミュニケーションズ,重要事項説明書・売買契約書の作成をクラウド化し、作成時間短縮、チェック負荷削減、書類精度向上を進めた事例。,https://www.musubell.com/case/c_251217-02
不動産管理,不動産開発/不動産運用,PM/BM管理|賃貸借契約管理|契約・決済|レポーティング,総合システム管理株式会社,Musubell,株式会社DGコミュニケーションズ,重要事項調査報告書の受付・入金確認・発行をクラウド化し、進捗可視化と月40〜50時間の業務削減を実現した事例。,https://www.musubell.com/case/m_251217-01
売買仲介,不動産仲介,重要事項説明|売買契約|契約・決済,株式会社三好不動産,Musubell,株式会社DGコミュニケーションズ,売買部門の契約書作成負荷を減らすために導入し、売買業務特化の設計を活かして契約書作成時間短縮と現場生産性向上につなげた事例。,https://www.musubell.com/case/c_260213-01/
売買仲介,不動産仲介,重要事項説明|売買契約|契約・決済|物件調査,ＴＣ神鋼不動産サービス株式会社,Musubell,株式会社DGコミュニケーションズ,重説や契約書をPDFやExcelで作成していた運用を見直し、定型文管理と物件情報一元化で作業時間削減と品質平準化を進めた事例。,https://www.musubell.com/case/c_251217-03/
不動産開発,不動産売却,重要事項説明|売買契約|契約・決済|決済・引渡し,三菱地所レジデンス株式会社,Musubell,株式会社DGコミュニケーションズ,宅建業法改正や顧客ニーズ変化への対応を背景に導入し、契約周辺業務のDXと現場負担軽減を進めた事例。,https://www.musubell.com/case/new-const_251217-01/
売買仲介,不動産仲介,内見・案内|販売資料作成|売却活動管理,ViVi不動産株式会社,スペースリー,株式会社スペースリー,VRホームステージングと家具消しを売買仲介に導入し、成約率の高い問い合わせ増加、営業1名で月10件の専任媒介を6か月連続獲得、リアルステージング比で大幅コスト削減を実現した事例。,https://info.spacely.co.jp/case/vivirealestate_vr/
売買仲介,不動産仲介,物件確認|広告掲載許諾|内見予約,株式会社レジデンシャル不動産,いえらぶCLOUD,株式会社いえらぶGROUP,仲介会社向け専用サイトを構築し、物件確認・広告掲載申請・内見予約をオンライン化して売買物件流通の手間を削減した事例。,https://ielove-cloud.jp/news/entry-686/
賃貸仲介,不動産仲介,物件情報整理|初回ヒアリング|売却活動管理,株式会社クリエイト,ATBB,アットホーム株式会社,URL発行機能と所要時間表示検索を活用し、資料送付の手間削減、反響客への提案スピード向上、オンライン接客への展開を進めた事例。,https://business.athome.jp/service/atbb/
売買仲介,不動産仲介,重要事項説明|売買契約|契約・決済,株式会社和田コーポレーション,Musubell,株式会社DGコミュニケーションズ,前職の大手不動産での業務水準とのギャップ解消を背景に導入し、契約書類作成とチェックバックの時間短縮、ミス削減、書類品質の平準化を進めた事例。,https://www.musubell.com/case/c_251217-01/
売買仲介,不動産売却,リード獲得|初回ヒアリング|媒介契約|売却活動管理,フォーティセブン不動産株式会社,Digima,株式会社コンベックス,一括査定反響のフォロー漏れ解消を目的に導入し、メール・SMSでの中長期追客と顧客行動の可視化によって媒介契約率10%向上、訪問査定率20%向上を実現した事例。,https://blog.digima.com/casestudy/47realestate
売買仲介,不動産売却,リード獲得|初回ヒアリング|媒介契約|売却活動管理,株式会社いいね不動産,Digima,株式会社コンベックス,顧客管理システム刷新を背景に導入し、査定反響直後と机上査定送付後のフォローを自動化して、SMS経由の訪問査定獲得と媒介契約につなげた事例。,https://blog.digima.com/casestudy/iine.estate
売買仲介,不動産売却,リード獲得|初回ヒアリング|媒介契約|売却活動管理,株式会社メイヴス,Digima,株式会社コンベックス,一括査定反響の手作業追客を見直すために導入し、自動フォローのレスポンス率40〜50%と営業2名で月60件対応できる体制づくりを進めた事例。,https://blog.digima.com/casestudy/maves
不動産管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,三菱地所ハウスネット株式会社,WealthPark Business,WealthPark株式会社,区分マンションと一棟収益不動産の管理で、紙・FAX中心だった送金明細やオーナー連絡を見直し、チャット起点で管理から販売へつなぐアセットマネジメント体制の構築を進めた事例。,https://wealth-park.com/ja/business/case-study/mjhn/
不動産管理,不動産開発/不動産運用,PM/BM管理|レポーティング|賃貸借契約管理,株式会社平田不動産,WealthPark Business,WealthPark株式会社,ペーパーレス化とオーナー対応品質の平準化を目的に導入し、収支報告書の読み合わせ時間を約50%削減しつつ、複雑化したシステムの効率化を進めた事例。,https://wealth-park.com/tc/business/case-study/hirata-fudosan/
不動産管理,不動産開発/不動産運用,PM/BM管理|レポーティング|売買提案,株式会社不動産のデパートひろた,WealthPark Business,WealthPark株式会社,オーナー連携強化のためにHAPプロジェクトを立ち上げ、デジタルコミュニケーションを起点に管理一本化の提案や次世代を見据えた資産提案へつなげた事例。,https://wealth-park.com/tc/business/case-study/hirota/
買取再販,不動産購入,価格妥当性確認|事業収支作成|売却出口戦略,株式会社不二興産,Gate.,リーウェイズ株式会社,収益不動産の仕入れ判断と販売戦略の精度向上を目的に導入し、AI査定と成約事例分析を活用して収益性と出口価格の検討を進めた事例。,https://ai.gate.estate/blog/2033/
不動産管理,不動産売却,売却価格査定|売却提案|販売資料作成,三和エステート株式会社,Gate.,リーウェイズ株式会社,オーナー向け売却提案の査定根拠強化を目的に導入し、賃料相場や取引事例を使った提案品質の平準化と営業効率化を進めた事例。,https://ai.gate.estate/blog/1459/
売買仲介,不動産仲介,初回ヒアリング|買主探索|売却活動管理,ホームトレードセンター株式会社,いい生活 売買クラウド,株式会社いい生活,グループ各社で分散していた顧客・物件情報を移行し、売買仲介営業支援とBCP対応を見据えた情報一元化を進めた事例。,https://www.es-service.net/topics/20241004/
